Subzone,PopMale,PopFemale,PopTotal
Admiralty,6860,7060,13920
Airport Road,-,-,0
Alexandra Hill,6630,6860,13490
Alexandra North,1230,1400,2630
Aljunied,19740,20250,39990
Anak Bukit,10370,11500,21870
Anchorvale,23700,24420,48120
Ang Mo Kio Town Centre,2260,2550,4810
Anson,-,-,0
Bahar,-,-,0
Balestier,15670,16760,32430
Bangkit,11010,11260,22270
Bayfront Subzone,-,-,0
Bayshore,3580,3870,7450
Bedok North,39700,42140,81840
Bedok Reservoir,12480,12990,25470
Bedok South,22540,24160,46700
Bencoolen,620,690,1310
Bendemeer,18240,19330,37570
Benoi Sector,-,-,0
Bidadari,-,-,0
Bishan East,13420,14880,28300
Boat Quay,70,60,130
Boon Keng,5630,6160,11790
Boon Lay Place,15060,14270,29330
Boon Teck,7210,7450,14660
Boulevard,210,200,410
Braddell,4590,5210,9800
Bras Basah,-,-,0
Brickland,-,-,0
Brickworks,9800,10020,19820
Bugis,440,450,890
Bukit Batok Central,13290,14000,27290
Bukit Batok East,6290,6410,12700
Bukit Batok South,7360,7570,14930
Bukit Batok West,7300,7700,15000
Bukit Ho Swee,7050,7340,14390
Bukit Merah,550,570,1120
Cairnhill,1830,2060,3890
Cecil,130,130,260
Central Subzone,410,470,880
Central Water Catchment,-,-,0
Changi Airport,-,-,0
Changi Bay,-,-,0
Changi Point,300,240,540
Changi West,660,650,1310
Chatsworth,3190,3690,6880
Cheng San,13480,14600,28080
Chin Bee,-,-,0
China Square,670,760,1430
Chinatown,5040,5450,10490
Choa Chu Kang Central,11180,11340,22520
Choa Chu Kang North,15860,16070,31930
Chong Boon,12860,13640,26500
City Hall,-,-,0
City Terminals,-,-,0
Clarke Quay,70,50,120
Cleantech,-,-,0
Clementi Central,6600,7400,14000
Clementi North,13400,15410,28810
Clementi West,7310,7950,15260
Clementi Woods,7660,8340,16000
Clifford Pier,-,-,0
Commonwealth,3230,3770,7000
Compassvale,10170,10790,20960
Coney Island,-,-,0
Coronation Road,3050,3650,6700
Crawford,4630,3750,8380
Dairy Farm,3350,3590,6940
Defu Industrial Park,-,-,0
Depot Road,3090,3450,6540
Dhoby Ghaut,160,160,320
Dover,5260,5820,11080
Dunearn,1800,2150,3950
East Coast,-,-,0
Everton Park,3680,4120,7800
Faber,2620,2740,5360
Fajar,13870,13950,27820
Farrer Court,2900,3280,6180
Farrer Park,1350,1310,2660
Fernvale,28860,29950,58810
Flora Drive,7200,7470,14670
Forest Hill,-,-,0
Fort Canning,90,90,180
Frankel,16260,18230,34490
Gali Batu,-,-,0
Garden,-,-,0
Geylang Bahru,5620,5660,11280
Geylang East,14540,15380,29920
Ghim Moh,6470,7380,13850
Gombak,4840,5090,9930
Goodwood Park,600,660,1260
Greenwood Park,-,-,0
Guilin,6290,6650,12940
Gul Basin,-,-,0
Gul Circle,-,-,0
Henderson Hill,6490,6830,13320
Hillcrest,4170,5300,9470
Hillview,9290,10000,19290
Holland Drive,5760,6920,12680
Holland Road,4800,6040,10840
Hong Kah,26650,27230,53880
Hong Kah North,13030,13120,26150
Hougang Central,2350,2370,4720
Hougang East,12110,12810,24920
Hougang West,22410,23050,45460
Institution Hill,1500,1650,3150
International Business Park,-,-,0
Istana Negara,-,-,0
Jelebu,15370,15940,31310
Joo Koon,-,-,0
Joo Seng,4030,4120,8150
Jurong Gateway,210,240,450
Jurong Island And Bukom,-,-,0
Jurong Port,-,-,0
Jurong River,-,-,0
Jurong West Central,31810,31950,63760
Kaki Bukit,18210,18940,37150
Kallang Bahru,-,-,0
Kallang Way,-,-,0
Kampong Bugis,460,460,920
Kampong Glam,80,40,120
Kampong Java,5140,5390,10530
Kampong Tiong Bahru,4440,4560,9000
Kampong Ubi,5890,5910,11800
Kangkar,15740,16540,32280
Katong,4440,4910,9350
Keat Hong,19010,19170,38180
Kebun Bahru,10660,11970,22630
Kembangan,18460,19010,37470
Kent Ridge,-,-,0
Khatib,4980,5270,10250
Kian Teck,-,-,0
Kim Keat,3840,4130,7970
Kovan,11960,12840,24800
Kranji,-,-,0
Lakeside (Business),-,-,0
Lakeside (Leisure),570,500,1070
Lavender,5070,4610,9680
Leedon Park,2960,3480,6440
Leonie Hill,1430,1690,3120
Lim Chu Kang,60,50,110
Little India,1680,1580,3260
Liu Fang,-,-,0
Lorong 8 Toa Payoh,3420,3730,7150
Lorong Ah Soo,15270,17050,32320
Lorong Chuan,4090,4400,8490
Lorong Halus,-,-,0
Lorong Halus North,-,-,0
Lower Seletar,9240,9420,18660
Loyang East,1060,1080,2140
Loyang West,100,120,220
Mackenzie,60,50,110
Macpherson,14070,14300,28370
Malcolm,1380,1570,2950
Mandai East,-,-,0
Mandai Estate,990,1100,2090
Mandai West,-,-,0
Margaret Drive,7710,8380,16090
Marina Centre,-,-,0
Marina East,-,-,0
Marina East (Mp),-,-,0
Marina South,-,-,0
Marine Parade,12530,14350,26880
Maritime Square,1770,1850,3620
Marymount,14680,14940,29620
Matilda,25610,26590,52200
Maxwell,-,-,0
Mei Chin,7350,8210,15560
Midview,17660,17610,35270
Monk's Hill,520,510,1030
Moulmein,4720,4580,9300
Mount Emily,770,860,1630
Mount Pleasant,350,340,690
Mountbatten,4720,5260,9980
Murai,290,350,640
Nassim,4410,5110,9520
National University Of S'pore,70,170,240
Nature Reserve,1810,2040,3850
Nee Soon,440,450,890
Newton Circus,140,110,250
Nicoll,150,140,290
North Coast,6130,5970,12100
North0Eastern Islands,-,-,0
Northland,13930,14070,28000
Northshore,230,220,450
One North,350,370,720
One Tree Hill,910,1150,2060
Orange Grove,840,950,1790
Oxley,670,820,1490
Pandan,-,-,0
Pang Sua,-,-,0
Park,-,-,0
Pasir Panjang 1,2200,2300,4500
Pasir Panjang 2,1490,1570,3060
Pasir Ris Central,15750,16490,32240
Pasir Ris Drive,26940,27480,54420
Pasir Ris Park,3760,3860,7620
Pasir Ris Wafer Fab Park,-,-,0
Pasir Ris West,17720,18070,35790
Paterson,110,130,240
Paya Lebar East,-,-,0
Paya Lebar North,-,-,0
Paya Lebar West,-,-,0
Pearl's Hill,3370,2750,6120
Pei Chun,4940,5420,10360
Peng Siang,17340,17390,34730
Penjuru Crescent,-,-,0
People's Park,140,160,300
Phillip,-,-,0
Pioneer Sector,-,-,0
Plab,-,-,0
Plantation,-,-,0
Port,60,60,120
Potong Pasir,5660,6060,11720
Pulau Punggol Barat,-,-,0
Pulau Punggol Timor,-,-,0
Pulau Seletar,-,-,0
Punggol Canal,-,-,0
Punggol Field,24120,24840,48960
Punggol Town Centre,10920,11340,22260
Queensway,130,140,270
Raffles Place,-,-,0
Redhill,5150,5470,10620
Reservoir View,-,-,0
Ridout,690,830,1520
Rivervale,29460,30230,59690
Robertson Quay,1390,1610,3000
Rochor Canal,-,-,0
Safti,-,-,0
Samulun,-,-,0
Saujana,12830,13090,25920
Selegie,110,100,210
Seletar,130,150,280
Seletar Aerospace Park,-,-,0
Seletar Hills,7250,7460,14710
Semakau,-,-,0
Sembawang Central,17060,17740,34800
Sembawang East,8550,8790,17340
Sembawang Hills,3210,3650,6860
Sembawang North,12750,12790,25540
Sembawang Springs,4480,4610,9090
Sembawang Straits,980,930,1910
Sengkang Town Centre,30290,31500,61790
Sengkang West,-,-,0
Senja,9920,10260,20180
Sennett,3480,3720,7200
Senoko North,-,-,0
Senoko South,-,-,0
Senoko West,-,-,0
Sentosa,920,1020,1940
Serangoon Central,11800,12960,24760
Serangoon Garden,17220,18860,36080
Serangoon North,7840,8100,15940
Serangoon North Ind Estate,-,-,0
Shangri0La,7780,8180,15960
Shipyard,-,-,0
Siglap,2980,3460,6440
Simei,19050,20400,39450
Simpang North,-,-,0
Simpang South,-,-,0
Singapore General Hospital,-,-,0
Singapore Polytechnic,-,-,0
Somerset,60,80,140
Southern Group,-,-,0
Springleaf,2180,2190,4370
Straits View,-,-,0
Sudong,-,-,0
Sungei Road,1020,1030,2050
Sunset Way,2640,3010,5650
Swiss Club,2470,2880,5350
Tagore,3790,4160,7950
Tai Seng,6670,7160,13830
Taman Jurong,19920,20000,39920
Tampines East,63960,67010,130970
Tampines North,3950,4090,8040
Tampines West,39150,40510,79660
Tanglin,170,210,380
Tanglin Halt,4960,5630,10590
Tanjong Irau,-,-,0
Tanjong Pagar,350,320,670
Tanjong Rhu,5230,5880,11110
Teban Gardens,9250,9280,18530
Teck Whye,12190,12140,24330
Telok Blangah Drive,9170,10140,19310
Telok Blangah Rise,5740,6420,12160
Telok Blangah Way,4610,4620,9230
Tengah Industrial Estate,-,-,0
Tengeh,-,-,0
The Wharves,-,-,0
Tiong Bahru,5990,6900,12890
Tiong Bahru Station,7140,7980,15120
Toa Payoh Central,12960,15070,28030
Toa Payoh West,6570,7780,14350
Toh Guan,7230,7360,14590
Toh Tuck,-,-,0
Townsville,9930,11210,21140
Trafalgar,24950,24240,49190
Tuas Bay,-,-,0
Tuas North,-,-,0
Tuas Promenade,-,-,0
Tuas View,-,-,0
Tuas View Extension,-,-,0
Tukang,-,-,0
Turf Club,330,340,670
Tyersall,1810,2070,3880
Ulu Pandan,5280,5740,11020
Upper Paya Lebar,8160,8760,16920
Upper Thomson,14160,15230,29390
Victoria,840,920,1760
Waterway East,25050,25530,50580
Wenya,4170,4110,8280
West Coast,3370,3500,6870
Woodgrove,16870,16920,33790
Woodlands East,49490,49500,98990
Woodlands Regional Centre,-,-,0
Woodlands South,20540,20470,41010
Woodlands West,17260,16650,33910
Woodleigh,1200,1260,2460
Xilin,890,880,1770
Yew Tee,20100,20280,40380
Yio Chu Kang,-,-,0
Yio Chu Kang East,2090,2120,4210
Yio Chu Kang North,-,-,0
Yio Chu Kang West,11520,12630,24150
Yishun Central,1290,1340,2630
Yishun East,30030,30640,60670
Yishun South,20670,21580,42250
Yishun West,26720,27190,53910
Yuhua East,12120,12650,24770
Yuhua West,9530,9630,19160
Yunnan,34250,33250,67500
